TIME,RPM,WSS
0,0,6291
56464,0,6226
111968,0,6213
169488,0,6151
225292,0,6166
280448,0,6114
335124,0,6074
391704,0,6011
451596,0,6012
511552,0,5878
571012,0,5897
630488,0,5867
688380,0,5841
747824,0,5844
804976,0,5717
861472,0,5710
919664,0,5690
976920,0,5637
1033292,0,5609
1090292,0,5572
1146748,0,5522
1200452,0,5525
1256136,0,5411
1310204,0,5416
1366056,0,5405
1418812,0,5389
1473036,0,5386
1527676,0,5280
1585712,0,5256
1645152,0,5200
1700364,0,5190
1754608,0,5176
1811608,0,5144
1866628,0,5101
1923780,0,5095
1978296,0,5023
2033996,0,5017
2089124,0,4986
2144420,0,4946
2198700,0,4861
2252700,0,4875
2306300,0,4853
2360508,0,4831
2413016,0,4804
2466412,0,4719
2518144,0,4775
2570320,0,4691
2623332,0,4670
2679308,0,4664
2735284,0,4601
2790444,0,4559
2846316,0,4568
2900452,0,4537
2955924,0,4485
3009856,0,4447
3062800,0,4409
3116696,0,4414
3170888,0,4376
3226548,0,4392
3278956,0,4286
3332088,0,4320
3387076,0,4261
3438232,0,4249
3489376,0,4246
3540936,0,4203
3594812,0,4192
3651096,0,4140
3704180,0,4159
3758544,0,4096
3810500,0,4106
3864168,0,4044
3917528,0,4056
3970384,0,4004
4022652,0,4010
4073588,0,3951
4126232,0,3907
4181604,0,3905
4236124,0,3846
4288944,0,3873
4340068,0,3852
4394188,0,3821
4448380,0,3771
4503300,0,3765
4555428,0,3753
4608648,0,3747
4660828,0,3719
4711484,0,3676
4763488,0,3675
4816488,0,3628
4870208,0,3626
4921316,0,3616
4976656,0,3607
5029644,0,3567
5082624,0,3557
5136104,0,3539
5189964,0,3495
5242440,0,3508
5295072,0,3474
5346888,0,3465
5400872,0,3443
5452636,0,3424
5503864,0,3418
5555732,0,3384
5605712,0,3421
5659108,0,3384
5712864,0,3359
5764404,0,3350
5814456,0,3319
5865528,0,3347
5918736,0,3310
5972004,0,3289
6025896,0,3272
6077472,0,3232
6130676,0,3267
6181816,0,3229
6234948,0,3226
6286144,0,3214
6337388,0,3192
6388704,0,3201
6439896,0,3176
6491556,0,3148
6544744,0,3158
6595296,0,3136
6645816,0,3133
6699432,0,3133
6752148,0,3118
6805596,0,3090
6858832,0,3089
6911256,0,3058
6962900,0,3071
7015720,0,3056
7067784,0,3046
7120948,0,3056
7171936,0,3031
7222436,0,3027
7275744,0,3024
7326988,0,3012
7377712,0,2966
7427540,0,2981
7479700,0,2981
7530324,0,2950
7581168,0,2957
7633316,0,2956
7683748,0,2932
7733712,0,2956
7784440,0,2940
7833308,0,2907
7883224,0,2922
7933220,0,2903
7983268,0,2919
8032728,0,2926
8081808,0,2888
8131304,0,2898
8183468,0,2879
8235372,0,2876
8286392,0,2848
8335384,0,2873
8386908,0,2848
8438448,0,2810
8489956,0,2845
8540936,0,2824
8591492,0,2817
8642492,0,2817
8693548,0,2810
8744064,0,2814
8795072,0,2811
8845516,0,2841
8896104,0,2820
8946620,0,2820
8997660,0,2851
9048628,0,2844
9100168,0,2820
9151256,0,2869
9202744,0,2860
9254268,0,2863
9305824,0,2876
9357320,0,2872
9406340,0,2876
9455856,0,2889
9507376,0,2891
9556872,0,2895
9605952,0,2922
9655500,0,2907
9704996,0,2919
9754492,0,2932
9803984,0,2938
9854020,0,2907
9904052,0,2935
9954048,0,2950
10004064,0,2935
10054600,0,2969
10104616,0,2971
10155136,0,2956
10205652,0,2981
10256188,0,2981
10307208,0,3006
10357688,0,3022
10408712,0,3002
10459784,0,3012
10511304,0,3022
10562744,0,3028
10613848,0,3015
10666012,0,3030
10717100,0,3018
10768400,0,3046
10821084,0,3050
10872712,0,3055
10923624,0,3077
10976260,0,3065
11027812,0,3080
11081780,0,3093
11133320,0,3102
11186140,0,3065
11239100,0,3093
11291612,0,3108
11344176,0,3096
11397292,0,3142
11451188,0,3136
11503696,0,3118
11556224,0,3174
11606828,0,3158
11656236,0,3158
11707484,0,3161
11758988,0,3140
11809644,0,3195
11860576,0,3176
11911248,0,3189
11961424,0,3198
12012948,0,3201
12065404,0,3223
12116336,0,3217
12167932,0,3207
12218240,0,3264
12270660,0,3245
12322548,0,3248
12374800,0,3257
12427152,0,3232
12479388,0,3285
12531308,0,3269
12584008,0,3285
12636984,0,3291
12689512,0,3297
12741364,0,3322
12794692,0,3316
12848116,0,3306
12901704,0,3363
12953728,0,3347
13007900,0,3344
13060984,0,3350
13115120,0,3335
13168928,0,3387
13221940,0,3372
13272600,0,3387
13323280,0,3399
13374240,0,3378
13425832,0,3443
13483176,0,3428
13534960,0,3431
13585580,0,3431
13636928,0,3452
13689440,0,3446
13740616,0,3458
13793452,0,3477
13843312,0,3465
13897104,0,3477
13947728,0,3486
14000168,0,3471
14053008,0,3511
14106280,0,3501
14158464,0,3518
14211564,0,3523
14264420,0,3521
14316408,0,3539
14371048,0,3532
14423076,0,3589
14476396,0,3548
14530140,0,3579
14583828,0,3603
14636576,0,3579
14687408,0,3598
14741648,0,3594
14795912,0,3648
14849668,0,3620
14901276,0,3635
14954984,0,3642
15006748,0,3654
15060456,0,3659
15112184,0,3672
15164796,0,3672
15219160,0,3675
15270024,0,3712
15322760,0,3712
15373900,0,3716
15425552,0,3697
15478160,0,3722
15530428,0,3734
15582972,0,3762
15635240,0,3768
15688772,0,3753
15740156,0,3793
15793756,0,3817
15847116,0,3790
15900128,0,3784
15952780,0,3821
16006036,0,3830
16059100,0,3831
16113152,0,3818
16166852,0,3843
16220560,0,3858
16274856,0,3883
16329492,0,3901
16382840,0,3895
16434864,0,3901
16489588,0,3908
16543712,0,3917
16597536,0,3945
16649720,0,3929
16704708,0,3927
16759556,0,3955
16809988,0,3933
16861652,0,3970
16913432,0,3976
16965660,0,4007
17018536,0,3982
17070460,0,4013
17122724,0,4001
17174424,0,4029
17226688,0,4024
17278696,0,4054
17331916,0,4044
17383732,0,4075
17438028,0,4060
17491160,0,4094
17546892,0,4066
17601916,0,4121
17654460,0,4081
17708928,0,4150
17762704,0,4121
17816252,0,4171
17869820,0,4127
17924256,0,4187
17979656,0,4137
18033620,0,4199
18087204,0,4168
18142068,0,4231
18197612,0,4196
18251960,0,4264
18307016,0,4233
18358192,0,4267
18409524,0,4305
18460664,0,4295
18512396,0,4280
18563208,0,4317
18615092,0,4339
18667240,0,4335
18720288,0,4361
18775884,0,4363
18828200,0,4379
18880052,0,4360
18932112,0,4422
18986060,0,4350
19038244,0,4413
19091356,0,4388
19143208,0,4428
19197832,0,4438
19250464,0,4453
19303720,0,4456
19356664,0,4475
19410696,0,4500
19465388,0,4506
19519720,0,4523
19572868,0,4522
19625948,0,4583
19681108,0,4506
19735528,0,4556
19790564,0,4534
19844584,0,4574
19900628,0,4595
19955252,0,4611
20011260,0,4633
20066320,0,4630
20122952,0,4670
20179220,0,4683
20233656,0,4704
20291376,0,4683
20346036,0,4757
20402892,0,4667
20459648,0,4732
20515988,0,4772
20568464,0,4757
20625028,0,4782
20677104,0,4772
20730236,0,4804
20781552,0,4816
20834772,0,4819
20888308,0,4862
20941560,0,4849
20995004,0,4866
21048744,0,4896
21102160,0,4905
21154128,0,4856
21207888,0,4906
21262648,0,4927
21318020,0,4942
21371148,0,4962
21426224,0,4940
21480500,0,5029
21535160,0,4974
21589940,0,5001
21644580,0,4993
21700436,0,5023
21754832,0,5045
21810752,0,5051
21866036,0,5095
21921876,0,5067
21978420,0,5115
22034360,0,5129
22092188,0,5144
22148008,0,5191
22203912,0,5194
22261448,0,5188
22318564,0,5231
22374820,0,5212
22426392,0,5219
22479092,0,5250
22531340,0,5247
22584908,0,5275
22642876,0,5308
22700376,0,5299
22752192,0,5327
22806556,0,5330
22859324,0,5321
22914072,0,5348
22966788,0,5386
23021396,0,5361
23075152,0,5414
23129464,0,5436
23184172,0,5402
23236632,0,5470
23290872,0,5507
23346832,0,5510
23401112,0,5482
23455684,0,5519
23510632,0,5508
23565584,0,5507
23621980,0,5559
23677204,0,5597
23733028,0,5563
23788860,0,5618
23844992,0,5662
23900948,0,5609
23957136,0,5687
24014372,0,5708
24071108,0,5711
24127624,0,5699
24183824,0,5748
24241544,0,5743
24298404,0,5768
24351572,0,5805
24409832,0,5879
24467384,0,5801
24525996,0,5844
24583960,0,5833
24636660,0,5813
24689516,0,5885
24742808,0,5919
24801452,0,5907
24853908,0,5944
24907732,0,5969
24961268,0,5941
25015056,0,5993
25068384,0,6002
25123232,0,6055
25178720,0,6065
25232112,0,6068
25286480,0,6074
25341484,0,6170
25396140,0,6167
25451336,0,6136
25506844,0,6155
25561536,0,6133
25617060,0,6210
25672652,0,6260
25728040,0,6217
25785228,0,6263
25841704,0,6256
25898548,0,6232
25954156,0,6312
26011620,0,6335
26068100,0,6358
26124368,0,6368
26182784,0,6412
26239748,0,6390
26297124,0,6412
26354276,0,6460
26413684,0,6443
26470992,0,6480
26530484,0,6481
26588728,0,6548
26647460,0,6570
26706688,0,6591
26765004,0,6592
26824152,0,6684
26883744,0,6666
26943460,0,6637
27002744,0,6728
27057368,0,6765
27117776,0,6731
27177616,0,6815
27231840,0,6769
27285616,0,6811
27339944,0,6808
27393944,0,6831
27449900,0,6843
27503520,0,6867
27559096,0,6901
27615624,0,6941
27676764,0,6959
27732028,0,6957
27788020,0,6967
27844548,0,7053
27900556,0,7041
27955096,0,7099
28012716,0,7071
28068256,0,7103
28125028,0,7118
28182876,0,7118
28238364,0,7178
28297112,0,7225
28355532,0,7217
28412056,0,7251
28469332,0,7245
28527868,0,7276
28587572,0,7360
28644168,0,7349
28703904,0,7406
28762008,0,7391
28821984,0,7450
28881632,0,7422
28940988,0,7421
28999060,0,7478
29058964,0,7565
29119736,0,7545
29179696,0,7583
29240348,0,7584
29302284,0,7614
29362556,0,7684
